drug_name,generic_name
アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,アセトアミノフェン
アセトアミノフェン３００ｍｇ錠,アセトアミノフェン
カロナール錠３００,アセトアミノフェン
アセトアミノフェン錠３００ｍｇ「ＪＧ」,アセトアミノフェン
カロナール錠５００,アセトアミノフェン
アセトアミノフェン錠５００ｍｇ「マルイシ」,アセトアミノフェン
アセトアミノフェン錠５００ｍｇ「ケンエー」,アセトアミノフェン
アセトアミノフェン２％シロップ,アセトアミノフェン
アセトアミノフェンＤＳ小児用２０％「タカタ」,アセトアミノフェン
アセトアミノフェンＤＳ小児用２０％「トーワ」,アセトアミノフェン
アセトアミノフェンＤＳ小児用２０％「三和」,アセトアミノフェン
アセトアミノフェンＤＳ４０％「三和」,アセトアミノフェン
アスピリン「ケンエー」,アスピリン
アスピリン「ホエイ」,アスピリン
アスピリン（山善）,アスピリン
アスピリン「ヨシダ」,アスピリン
アスピリン原末「マルイシ」,アスピリン
エテンザミド,エテンザミド
イソプロピルアンチピリン,イソプロピルアンチピリン
スルピリン水和物,スルピリン水和物
ミグレニン,ミグレニン
インドメタシンカプセル,インドメタシン
ランツジールコーワ錠３０ｍｇ,アセメタシン
インフリーカプセル１００ｍｇ,インドメタシン　ファルネシル
インフリーＳカプセル２００ｍｇ,インドメタシン　ファルネシル
ジクロフェナクナトリウム２５ｍｇ錠,ジクロフェナクナトリウム
ボルタレン錠２５ｍｇ,ジクロフェナクナトリウム
ナボールＳＲカプセル３７．５,ジクロフェナクナトリウム
ボルタレンＳＲカプセル３７．５ｍｇ,ジクロフェナクナトリウム
ソランタール錠５０ｍｇ,チアラミド塩酸塩
ソランタール錠１００ｍｇ,チアラミド塩酸塩
ブルフェン顆粒２０％,イブプロフェン
イブプロフェン顆粒２０％「ツルハラ」,イブプロフェン
イブプロフェン１００ｍｇ錠,イブプロフェン
ブルフェン錠１００,イブプロフェン
ブルフェン錠２００,イブプロフェン
イブプロフェン錠２００ｍｇ「ＴＣＫ」,イブプロフェン
イブプロフェン錠２００ｍｇ「ＮＩＧ」,イブプロフェン
ナイキサン錠１００ｍｇ,ナプロキセン
パラミヂンカプセル３００ｍｇ,ブコローム
フロベン錠４０,フルルビプロフェン
ミグリステン錠２０,ジメトチアジンメシル酸塩
ロキソニン細粒１０％,ロキソプロフェンナトリウム水和物
ロキソプロフェンＮａ細粒１０％「サワイ」,ロキソプロフェンナトリウム水和物
ロキソプロフェンナトリウム６０ｍｇ錠,ロキソプロフェンナトリウム水和物
ロキソニン錠６０ｍｇ,ロキソプロフェンナトリウム水和物
ノイロトロピン錠４単位,ワクシニアウイルス接種家兎炎症皮膚抽出液
アルボ錠１００ｍｇ,オキサプロジン
アルボ錠２００ｍｇ,オキサプロジン
レリフェン錠４００ｍｇ,ナブメトン
ザルトプロフェン８０ｍｇ錠,ザルトプロフェン
ソレトン錠８０,ザルトプロフェン
ペオン錠８０,ザルトプロフェン
モーバー錠１００ｍｇ,アクタリット
オークル錠１００ｍｇ,アクタリット
ハイペン錠１００ｍｇ,エトドラク
エトドラク錠１００ｍｇ「ＳＷ」,エトドラク
ハイペン錠２００ｍｇ,エトドラク
エトドラク錠２００ｍｇ「ＳＷ」,エトドラク
