disease_name,disease_kana,icd10_code
Ｂ細胞性移植後リンパ増殖性疾患,Ｂサイボウセイイショクゴリンパゾウショクセイシッカン,D477
Ｂ細胞性前リンパ球性白血病,Ｂサイボウセイゼンリンパキュウセイハッケツビョウ,C913
Ｂ細胞性非ホジキンリンパ腫,Ｂサイボウセイヒホジキンリンパシュ,C851
Ｂ細胞リンパ腫,Ｂサイボウリンパシュ,C851
Ｂリンパ芽球性白血病,Ｂリンパガキュウセイハッケツビョウ,C910
Ｂリンパ芽球性白血病／リンパ腫,Ｂリンパガキュウセイハッケツビョウ／リンパシュ,C910
Ｂリンパ芽球性リンパ腫,Ｂリンパガキュウセイリンパシュ,C835
ＣＡ１２５高値,ＣＡ１２５コウチ,R778
ＣＡ１５−３高値,ＣＡ１５−３コウチ,R778
ＣＡ１９−９高値,ＣＡ１９−９コウチ,R778
ＣＡ７２−４高値,ＣＡ７２−４コウチ,R778
ＣＡＣＴ欠損症,ＣＡＣＴケッソンショウ,E713
ＣＡＤ／ＣＡＭインレー過高,ＣＡＤ／ＣＡＭインレーカコウ,T888
ＣＡＤ／ＣＡＭインレー粗造,ＣＡＤ／ＣＡＭインレーソゾウ,T888
ＣＡＤ／ＣＡＭインレー脱離,ＣＡＤ／ＣＡＭインレーダツリ,T888
ＣＡＤ／ＣＡＭインレー低位,ＣＡＤ／ＣＡＭインレーテイイ,T888
ＣＡＤ／ＣＡＭインレー破損,ＣＡＤ／ＣＡＭインレーハソン,T888
ＣＡＤ／ＣＡＭインレー不適合,ＣＡＤ／ＣＡＭインレーフテキゴウ,T888
ＣＡＤ／ＣＡＭ冠過高,ＣＡＤ／ＣＡＭカンカコウ,T888
ＣＡＤ／ＣＡＭ冠粗造,ＣＡＤ／ＣＡＭカンソゾウ,T888
ＣＡＤ／ＣＡＭ冠脱離,ＣＡＤ／ＣＡＭカンダツリ,T888
ＣＡＤ／ＣＡＭ冠低位,ＣＡＤ／ＣＡＭカンテイイ,T888
ＣＡＤ／ＣＡＭ冠破損,ＣＡＤ／ＣＡＭカンハソン,T888
ＣＡＤ／ＣＡＭ冠不適合,ＣＡＤ／ＣＡＭカンフテキゴウ,T888
ＣＡＤＡＳＩＬ,ＣＡＤＡＳＩＬ,F011
ＣＡＰＤカテーテル位置異常,ＣＡＰＤカテーテルイチイジョウ,T856
ＣＡＰＤカテーテルトンネル感染,ＣＡＰＤカテーテルトンネルカンセン,T857
ＣＡＰＤカテーテル破損,ＣＡＰＤカテーテルハソン,T856
ＣＡＰＤ出口部感染,ＣＡＰＤデグチブカンセン,T857
ＣＡＰＤ腹膜炎,ＣＡＰＤフクマクエン,T857
ＣＡＲＡＳＩＬ,ＣＡＲＡＳＩＬ,F011
ＣＡＳＫ異常症,ＣＡＳＫイジョウショウ,Q02
ＣＣＲ４陽性成人Ｔ細胞白血病リンパ腫,ＣＣＲ４ヨウセイセイジンＴサイボウハッケツビョウリンパシュ,C915
ＣＣＲ４陽性皮膚Ｔ細胞リンパ腫,ＣＣＲ４ヨウセイヒフＴサイボウリンパシュ,C848
ＣＣＲ４陽性末梢性Ｔ細胞リンパ腫,ＣＣＲ４ヨウセイマッショウセイＴサイボウリンパシュ,C844
ＣＤ２０陽性Ｂ細胞性非ホジキンリンパ腫,ＣＤ２０ヨウセイＢサイボウセイヒホジキンリンパシュ,C851
ＣＤ８欠損症,ＣＤ８ケッソンショウ,D818
ＣＥＡ高値,ＣＥＡコウチ,R778
ＣＦＣ症候群,ＣＦＣショウコウグン,Q878
ＣＨＡＲＧＥ症候群,ＣＨＡＲＧＥショウコウグン,Q878
ＣＨＩＬＤ症候群,ＣＨＩＬＤショウコウグン,Q878
ＣＭ関節外傷性変形性関節症,ＣＭカンセツガイショウセイヘンケイセイカンセツショウ,M1914
ＣＭ関節原発性変形性関節症,ＣＭカンセツゲンパツセイヘンケイセイカンセツショウ,M1904
ＣＭ関節続発性変形性関節症,ＣＭカンセツゾクハツセイヘンケイセイカンセツショウ,M1924
ＣＭ関節脱臼,ＣＭカンセツダッキュウ,S630
ＣＭ関節変形性関節症,ＣＭカンセツヘンケイセイカンセツショウ,M1994
ＣＯ２ナルコーシス,ＣＯ２ナルコーシス,R068
ＣＯＶＩＤ−１９,ＣＯＶＩＤ−１９,U071
ＣＯＶＩＤ−１９・ウイルス同定,ＣＯＶＩＤ−１９・ウイルスドウテイ,U071
ＣＯＶＩＤ−１９・ウイルス未同定,ＣＯＶＩＤ−１９・ウイルスミドウテイ,U072
ＣＯＶＩＤ−１９感染母体より出生した児,ＣＯＶＩＤ−１９カンセンボタイヨリシュッセイシタジ,P002
